Lemma	T19_Kendall_w2v	T19_Jaccard_w2v	T19_NDCG_w2v	T19_w2v	T19_Kendall_ft	T19_Jaccard_ft	T19_NDCG_ft	T19_ft	TA_Kendall_ft	TA_Jaccard_ft	TA_NDCG_ft	TA_ft
заповедь	0.2360295059017757	0.12359550561797752	0.33260236538509963	0.041108157519506694	0.3023125196499952	0.12781954887218044	0.3851459866252681	0.049229186260372614	0.21869746186588698	0.09090909090909091	0.2623438054524051	0.023849436859309556
православный	0.3259334984852235	0.11940298507462686	0.27656870779900744	0.033023129289433725	0.4262101628657105	0.13636363636363635	0.3310795241125935	0.04514720783353547	0.24858015190508972	0.04529616724738676	0.17167336792484944	0.007776145585446142
несколько	0.40593326410766123	0.1070110701107011	0.40087983053499343	0.04289857965134616	0.31932675302300356	0.0948905109489051	0.2960680852037329	0.028094051880646186	0.3186915928976471	0.0948905109489051	0.2503022338444475	0.02375130686115195
входить	0.38279005028667895	0.1857707509881423	0.4628596016149595	0.08598577579408338	0.40642540131030785	0.171875	0.4213795548902325	0.0724246109967587	0.14799049570784484	0.013513513513513514	0.037958408104564224	0.0005129514608724896
царство	0.21128215912144874	0.04529616724738676	0.12994500545355428	0.005886010699986779	0.249444724880858	0.06761565836298933	0.23538591585344518	0.015915773669805903	0.2620418650077573	0.034482758620689655	0.1539286387018726	0.005307884093168021
слово	0.22432332666238983	0.06007067137809187	0.21055439837801695	0.012648144072177696	0.27957658949426073	0.05263157894736842	0.22679899915783294	0.011936789429359627	0.21376444638334616	0.034482758620689655	0.14458715829953803	0.004985764079294415
первый	0.25791494420192645	0.07913669064748201	0.3015434166086772	0.023863148076945673	0.13095848056245046	0.06761565836298933	0.25037091099720243	0.01692899398201725	0.2566979503344704	0.03806228373702422	0.1900492335631843	0.007233707851885907
прежний	0.16910697120213547	0.06382978723404255	0.18770880446394705	0.011981413050890236	0.21814042704723352	0.06007067137809187	0.20887480423961954	0.012547249724641456	0.16103602492395824	0.056338028169014086	0.18199552882725178	0.010253269229704326
сказать	0.22701384125855262	0.16279069767441862	0.40069643771265456	0.06522965265089727	0.4227072876828113	0.14068441064638784	0.41484186039873394	0.058361782641646986	0.28963020384747834	0.06007067137809187	0.17911409362887745	0.010759503857565076
убивать	0.37626485519613473	0.10294117647058823	0.2706032428961471	0.027856216180485734	0.4291347418578206	0.08695652173913043	0.24806009721369032	0.021570443235973073	0.27515291172192374	0.056338028169014086	0.14204114732848447	0.008002318159351238
новый	0.17515006129541116	0.04895104895104895	0.14043906552653254	0.0068746395712288655	0.13035975873779312	0.05263157894736842	0.09767279259745869	0.005140673294603089	0.054083434449682534	0.01694915254237288	0.0448024985429954	0.0007593643820846678
делать	0.1670600584130226	0.1070110701107011	0.33353677196690656	0.03569212688944756	0.26892486405333216	0.13636363636363635	0.3737215077895681	0.050962023789486555	0.17341591562253042	0.01694915254237288	0.12165835001710074	0.002062005932493233
зло	0.3199130292185821	0.15384615384615385	0.4374491029136253	0.06729986198671159	0.2959331910093219	0.1450381679389313	0.3960896589849581	0.057448118478734385	0.21920757126191942	0.07142857142857142	0.25675127029838024	0.0183393764498843
ближний	0.17249287273899688	0.06382978723404255	0.13161627533467282	0.008401038851149328	0.11048124149883845	0.07526881720430108	0.1697879964575677	0.012779741668849182	-0.015918275152055253	0.006711409395973154	0.01584216697149296	0.00010632326826505342
кто-нибудь	0.19172259816359447	0.07526881720430108	0.2679231982222724	0.020166262231783944	0.26906776583821557	0.10294117647058823	0.3563264175586413	0.0366806606310366	0.22664191401807346	0.06007067137809187	0.2187296516073893	0.013139237022352007
иметь	0.25009462050731185	0.11940298507462686	0.345593286866184	0.04126487007357421	0.25482722169635597	0.16279069767441862	0.402529618504838	0.06552807743102014	0.22505281507891448	0.056338028169014086	0.1605623623064359	0.00904576689050343
против	0.1302248196069185	0.06761565836298933	0.1522295547491436	0.010293101566668073	0.2460196870052126	0.08695652173913043	0.2992662180974853	0.026023149399781332	0.033738158635551845	0.041666666666666664	0.10197850589439325	0.004249104412266385
находить	0.19929585410590933	0.1320754716981132	0.36870892484273987	0.04869740516790904	0.24001781863120833	0.12781954887218044	0.29455044634540223	0.037649305171968704	0.05562994562738555	0.023890784982935155	0.08081540631638005	0.0019307434956131755
что-либо	0.1511665707525215	0.04529616724738676	0.18892812729457764	0.008557720051670764	0.2037613745223193	0.07913669064748201	0.2812932759834394	0.022260618962718224	0.23384195711718933	0.030927835051546393	0.18894385112740963	0.005843624261672463
хотеть	0.3092732618554989	0.20967741935483872	0.4613152742197499	0.09672739620736691	0.29182517000018493	0.1857707509881423	0.4703445845228458	0.08737626669001483	0.22923667582945817	0.07142857142857142	0.2522694616844802	0.01801924726317716
молиться	0.26059404659598256	0.08303249097472924	0.2373303406392727	0.019706129367159826	0.2547681023609735	0.0989010989010989	0.2572477904221006	0.025442089162625334	0.13117963143425723	0.05263157894736842	0.20016677486690881	0.010535093414047831
никакой	0.3190382790046026	0.1450381679389313	0.4317774787905306	0.06262421448106932	0.3279661109957649	0.16279069767441862	0.4069965561747821	0.06625525333077849	0.17370592486682773	0.041666666666666664	0.16085322137000235	0.006702217557083431
молитва	0.35490566801607853	0.07526881720430108	0.20890707885367976	0.015724188730922132	0.3615459099681463	0.0989010989010989	0.22860448573647243	0.022609234853057714	0.14343071680649336	0.06761565836298933	0.18386585570052824	0.012432210883665612
